timestamp,samples_per_sec,total_samples
2025-07-01T22:56:33+07:00,1046503.20,602799411
2025-07-01T22:56:38+07:00,913308.80,607365955
2025-07-01T22:56:43+07:00,990185.00,612316880
2025-07-01T22:56:48+07:00,975741.40,617195587
2025-07-01T22:56:53+07:00,1055314.00,622472157
2025-07-01T22:56:58+07:00,977317.20,627358743
2025-07-01T22:57:04+07:00,924370.00,631980593
2025-07-01T22:59:48+07:00,19943.00,99715
2025-07-01T22:59:53+07:00,1607088.40,8135157
2025-07-01T23:00:04+07:00,0.00,0
2025-07-01T23:00:09+07:00,0.00,0
2025-07-01T23:00:14+07:00,373650.80,1868254
2025-07-01T23:00:19+07:00,196302.80,2849768
2025-07-01T23:00:24+07:00,1905039.40,12374965
2025-07-01T23:00:29+07:00,1525007.00,20000000
2025-07-01T23:00:34+07:00,0.00,20000000
